transaction_id,loan_id,customer_id,name,transaction_date,transaction_amount,loan_amount,transaction_flag
2717,183,942,"Christopher Hodge","1/31/2023 7:40",14862,42176,"High-Value Transaction"
4449,183,571,"Arthur Fitzgerald","8/11/2024 19:29",23622,42176,"High-Value Transaction"
1018,184,908,"Tiffany Estrada","9/8/2021 17:31",39556,89147,"High-Value Transaction"
2987,184,351,"Olivia Shelton","7/12/2021 23:24",32474,89147,"High-Value Transaction"
3990,191,862,"Jennifer Hill","1/29/2021 23:35",37610,99606,"High-Value Transaction"
2408,193,240,"Laura Simmons","1/10/2021 9:27",36163,112083,"High-Value Transaction"
2562,193,168,"Rebecca Richard","1/25/2023 13:32",39679,112083,"High-Value Transaction"
496,199,830,"Rodney Clark","8/8/2020 19:11",48193,127706,"High-Value Transaction"
4480,203,280,"Andrew Pace","8/7/2020 8:07",46259,150455,"High-Value Transaction"
1198,205,412,"Cheryl Adams","6/9/2023 5:42",34033,91925,"High-Value Transaction"
1643,205,212,"Alex Sullivan","5/19/2020 19:32",35884,91925,"High-Value Transaction"
3590,207,737,"Keith Deleon","3/17/2022 0:46",16961,55395,"High-Value Transaction"
4967,208,368,"Daniel Hayes","5/23/2022 15:55",34360,13286,"High-Value Transaction"
228,217,579,"Wanda Smith","5/13/2023 4:10",49073,148651,"High-Value Transaction"
905,227,322,"Mitchell Dixon","2/23/2024 4:34",49282,53881,"High-Value Transaction"
939,228,947,"Mary Stuart","10/21/2022 0:40",41207,56652,"High-Value Transaction"
3539,228,989,"Amanda Williams","11/11/2021 1:51",34703,56652,"High-Value Transaction"
208,230,902,"Mackenzie Mueller","3/5/2020 16:12",43953,87500,"High-Value Transaction"
2496,235,202,"Rodney Hamilton","11/22/2023 0:23",47361,125478,"High-Value Transaction"
1003,243,154,"Angela Oneill","12/2/2020 8:47",49788,29265,"High-Value Transaction"
2087,243,286,"Christopher Burnett","4/24/2023 12:48",42288,29265,"High-Value Transaction"
4640,243,981,"Ricky Schroeder","1/22/2021 10:40",49891,29265,"High-Value Transaction"
1638,245,634,"Cheryl Lowe","10/14/2022 12:00",33272,6979,"High-Value Transaction"
2287,266,76,"Holly Ramirez","1/31/2023 14:11",37052,75071,"High-Value Transaction"
2501,266,413,"Lynn Juarez","6/13/2024 14:42",26911,75071,"High-Value Transaction"
88,270,875,"Michelle Smith","2/18/2022 21:20",46231,99625,"High-Value Transaction"
2322,271,194,"Stephen Mcdaniel","7/1/2021 5:07",48166,38572,"High-Value Transaction"
1366,277,531,"Samuel Wright","6/20/2023 0:15",46065,31462,"High-Value Transaction"
1760,280,303,"Michael Watson","6/3/2024 2:49",39072,83667,"High-Value Transaction"
4075,282,200,"Thomas Spencer","5/2/2020 4:51",20940,39829,"High-Value Transaction"
4182,282,170,"Kendra Martinez","1/22/2024 21:00",48500,39829,"High-Value Transaction"
2999,298,778,"Jesus Henderson","9/15/2023 16:53",11014,9597,"High-Value Transaction"
3181,298,582,"Antonio Oneill","6/9/2023 6:33",47329,9597,"High-Value Transaction"
1731,302,287,"Ashley Rios","5/28/2023 19:07",42599,53573,"High-Value Transaction"
1375,307,95,"Keith Moore","7/24/2023 16:10",39941,99397,"High-Value Transaction"
141,311,158,"Anthony Reese","12/29/2019 8:29",33488,47794,"High-Value Transaction"
3016,311,930,"Matthew Anderson","12/16/2021 22:34",39876,47794,"High-Value Transaction"
2111,314,948,"Christina Smith","5/7/2024 18:22",45763,120399,"High-Value Transaction"
3941,314,715,"Dennis Lewis","4/7/2023 22:46",37191,120399,"High-Value Transaction"
4714,321,9,"Margaret Miller","7/30/2024 8:14",43703,91418,"High-Value Transaction"
202,322,725,"Misty Gonzalez","5/5/2024 16:34",43405,44064,"High-Value Transaction"
3688,322,444,"Benjamin Mason","11/17/2022 5:47",39451,44064,"High-Value Transaction"
4678,322,793,"Charles Ramos","5/5/2024 14:06",36610,44064,"High-Value Transaction"
1116,324,958,"Scott Marquez","5/11/2023 23:48",47483,12928,"High-Value Transaction"
1473,324,314,"Kevin Gould","7/15/2021 19:51",30139,12928,"High-Value Transaction"
4279,328,989,"Amanda Williams","10/26/2021 11:16",44032,6280,"High-Value Transaction"
4297,328,841,"Marie Payne","6/16/2022 4:10",30926,6280,"High-Value Transaction"
924,330,537,"John Mueller","4/26/2022 17:51",21166,51005,"High-Value Transaction"
4612,330,851,"Ronald Frazier","11/13/2024 14:59",34269,51005,"High-Value Transaction"
4865,330,875,"Michelle Smith","6/18/2020 12:44",29865,51005,"High-Value Transaction"
4025,347,833,"Sarah Frank","2/18/2020 21:43",24569,30606,"High-Value Transaction"
142,349,264,"Scott Cole","4/17/2022 18:45",15787,23028,"High-Value Transaction"
1704,357,930,"Matthew Anderson","6/3/2021 4:40",35228,44161,"High-Value Transaction"
4783,357,28,"Victor Haynes","9/24/2021 8:27",25708,44161,"High-Value Transaction"
3055,359,346,"Richard Harper","12/4/2021 20:18",32138,82970,"High-Value Transaction"
4214,359,166,"Andrea Brown","5/2/2020 17:09",36911,82970,"High-Value Transaction"
520,362,744,"Brianna Martinez","1/22/2020 3:35",12661,28969,"High-Value Transaction"
3439,362,116,"Christine Hicks","5/21/2024 17:21",24325,28969,"High-Value Transaction"
581,378,152,"Kevin Thompson","3/21/2020 8:12",39846,60428,"High-Value Transaction"
1398,378,464,"Michael Montgomery","10/7/2024 4:15",26783,60428,"High-Value Transaction"
1022,379,275,"Christopher Hart","5/2/2020 4:40",40986,6085,"High-Value Transaction"
1085,379,273,"Dana Cohen","12/22/2019 1:19",8237,6085,"High-Value Transaction"
3633,379,904,"Kimberly Martin","1/15/2020 6:46",27253,6085,"High-Value Transaction"
231,389,560,"Jose Gill","7/5/2023 14:19",14418,12622,"High-Value Transaction"
652,398,386,"Tina Jones","7/12/2021 10:35",42654,53429,"High-Value Transaction"
2957,398,634,"Cheryl Lowe","4/26/2024 5:41",24470,53429,"High-Value Transaction"
3885,406,229,"Christopher Mills","3/28/2022 23:39",42566,52015,"High-Value Transaction"
1604,407,497,"Rachel Montgomery","6/16/2023 18:16",12837,16936,"High-Value Transaction"
2104,407,742,"Lindsay Robertson","1/31/2022 4:54",37190,16936,"High-Value Transaction"
233,423,203,"Teresa Berry","8/3/2021 3:57",47262,94183,"High-Value Transaction"
2485,423,500,"Stacie Ellis","6/14/2023 9:29",48403,94183,"High-Value Transaction"
3052,432,295,"Carl Richards","5/18/2020 4:58",41998,67425,"High-Value Transaction"
3845,438,507,"David Stevens","3/23/2020 2:15",47713,151711,"High-Value Transaction"
4994,442,909,"Larry Rich","3/28/2023 14:32",45141,117431,"High-Value Transaction"
2433,447,968,"Gerald Gonzalez","4/27/2020 10:18",21310,42439,"High-Value Transaction"
4856,460,778,"Jesus Henderson","3/25/2021 18:08",44175,40480,"High-Value Transaction"
1446,466,652,"Michael Bennett","2/11/2024 5:32",33558,87995,"High-Value Transaction"
3984,466,270,"Raymond Kramer","3/29/2022 10:06",31399,87995,"High-Value Transaction"
3197,471,713,"Lauren Bennett","8/1/2022 20:04",17450,39317,"High-Value Transaction"
1762,477,246,"Edward Lopez","11/2/2022 16:06",41772,134194,"High-Value Transaction"
754,478,248,"Kristina Gonzalez","3/30/2023 18:56",43427,19964,"High-Value Transaction"
2914,478,731,"Eric Mcdonald","7/26/2024 18:19",34692,19964,"High-Value Transaction"
264,481,651,"William Donaldson","8/1/2023 12:24",38029,118214,"High-Value Transaction"
4453,481,99,"James Washington","1/6/2022 20:41",44880,118214,"High-Value Transaction"
1298,502,555,"Sara Pace","10/16/2021 18:51",21312,13149,"High-Value Transaction"
3916,502,924,"Justin Crawford","4/17/2024 4:17",26366,13149,"High-Value Transaction"
4661,502,774,"Amy Deleon","2/15/2020 13:53",47208,13149,"High-Value Transaction"
4764,502,600,"Marvin Richard","5/27/2021 12:15",32645,13149,"High-Value Transaction"
904,505,775,"Jennifer Tran","9/6/2024 4:16",29304,53229,"High-Value Transaction"
944,505,977,"Kelly Perry","1/22/2021 22:08",19363,53229,"High-Value Transaction"
4585,505,696,"Eric Herrera","10/17/2020 18:05",45510,53229,"High-Value Transaction"
2312,508,886,"Brandon Butler","10/23/2022 8:29",15642,29994,"High-Value Transaction"
2765,510,624,"Jared Patterson","1/7/2023 15:09",29112,96254,"High-Value Transaction"
3912,510,594,"Ruth Weaver","12/1/2020 6:11",34295,96254,"High-Value Transaction"
865,521,142,"Alex Singh","3/18/2022 6:59",41924,126764,"High-Value Transaction"
4138,525,74,"Jessica Pope","4/4/2023 10:01",40947,47838,"High-Value Transaction"
3445,532,15,"Megan Johnson","7/20/2021 16:04",33769,70794,"High-Value Transaction"
3853,532,820,"Michael Mclaughlin","12/14/2022 6:46",28929,70794,"High-Value Transaction"
4645,535,772,"Douglas Craig","1/31/2023 20:48",14185,9641,"High-Value Transaction"
2069,542,839,"Cynthia Mendez","8/2/2024 16:57",13498,28008,"High-Value Transaction"
4122,546,609,"Sean Smith","7/23/2023 18:53",44267,99629,"High-Value Transaction"
4063,558,452,"Kristina Pearson","9/14/2022 7:16",31886,98317,"High-Value Transaction"
103,559,278,"Shannon Turner DDS","4/17/2022 2:56",39987,63500,"High-Value Transaction"
642,559,936,"Ashley Klein","11/12/2023 8:48",23384,63500,"High-Value Transaction"
1297,559,598,"Madeline Bailey","1/11/2024 12:25",46291,63500,"High-Value Transaction"
4448,559,842,"Angela Cox","5/29/2023 12:36",40123,63500,"High-Value Transaction"
1609,575,822,"Jeremy Anderson","8/18/2022 10:50",26019,8231,"High-Value Transaction"
3842,575,398,"Nancy Day","8/26/2020 18:28",36771,8231,"High-Value Transaction"
4457,576,637,"Rachel Stewart","11/21/2021 15:19",23440,69806,"High-Value Transaction"
3671,583,922,"Rachel Edwards","1/2/2022 19:19",35728,111729,"High-Value Transaction"
2376,584,143,"Cindy Daniel","3/1/2021 7:52",31007,18466,"High-Value Transaction"
2760,584,97,"Jeffrey Potter","9/4/2023 14:22",27636,18466,"High-Value Transaction"
4633,584,47,"Elizabeth Bass","12/18/2021 21:00",35631,18466,"High-Value Transaction"
1221,591,21,"Jacob Wood","8/27/2021 16:24",30970,10677,"High-Value Transaction"
2673,591,243,"Corey Gilmore","1/26/2022 3:16",8670,10677,"High-Value Transaction"
3871,591,197,"Annette Cook","10/25/2023 2:29",10700,10677,"High-Value Transaction"
4650,591,20,"Dr. Timothy Juarez","3/30/2023 8:27",9674,10677,"High-Value Transaction"
1718,596,932,"Denise Leon","5/3/2020 11:16",35666,43971,"High-Value Transaction"
2936,596,665,"Robert Young","8/7/2023 15:44",24559,43971,"High-Value Transaction"
2949,597,259,"Brian Hoffman","9/4/2020 5:46",43017,6677,"High-Value Transaction"
4299,597,126,"Jessica Gonzalez","3/2/2022 19:01",42407,6677,"High-Value Transaction"
4948,597,739,"Laura Atkinson","7/14/2024 8:12",36922,6677,"High-Value Transaction"
195,605,533,"William Bishop","6/18/2024 4:16",46942,73451,"High-Value Transaction"
1228,605,740,"Zachary Clements","12/20/2022 18:39",36900,73451,"High-Value Transaction"
1613,606,398,"Nancy Day","8/20/2022 5:12",39796,12463,"High-Value Transaction"
4290,606,494,"Sierra Hawkins","9/17/2024 23:54",14229,12463,"High-Value Transaction"
423,611,874,"Charles Porter","1/15/2022 0:05",31409,61566,"High-Value Transaction"
74,613,18,"Vanessa Smith","3/6/2021 20:47",19623,59646,"High-Value Transaction"
4811,613,876,"Richard Garrison","7/15/2020 14:29",28285,59646,"High-Value Transaction"
956,625,270,"Raymond Kramer","4/6/2023 6:24",39129,107563,"High-Value Transaction"
1728,635,959,"Michelle Perez","4/8/2023 13:50",41789,13118,"High-Value Transaction"
1777,637,802,"Gabriel Snow","10/25/2021 4:43",19890,61239,"High-Value Transaction"
334,639,901,"Danny Moody","1/29/2020 18:24",45183,64882,"High-Value Transaction"
1078,639,585,"Jennifer Summers","4/16/2023 22:11",26150,64882,"High-Value Transaction"
809,643,589,"Ryan Murphy","5/19/2021 7:55",26059,61978,"High-Value Transaction"
3859,645,563,"Kenneth Moreno","4/28/2022 20:32",44452,60841,"High-Value Transaction"
517,647,873,"Troy Webb","5/26/2021 6:16",38866,86298,"High-Value Transaction"
1449,663,888,"Daniel Huber","1/17/2022 22:04",39336,46602,"High-Value Transaction"
2222,663,100,"Jasmine Chavez","5/13/2022 10:52",32467,46602,"High-Value Transaction"
4820,663,170,"Kendra Martinez","3/9/2024 14:31",21248,46602,"High-Value Transaction"
4910,663,968,"Gerald Gonzalez","3/3/2021 5:14",31023,46602,"High-Value Transaction"
1588,671,419,"Jonathan Wolf","10/13/2021 13:16",47282,90658,"High-Value Transaction"
3841,673,614,"Jason Fletcher","12/4/2022 10:00",14742,40341,"High-Value Transaction"
4110,673,459,"Elizabeth Estrada","7/10/2022 8:52",33723,40341,"High-Value Transaction"
3854,676,310,"James Rivera","3/25/2023 4:36",21337,26865,"High-Value Transaction"
739,681,675,"James Fischer","5/17/2021 9:20",49030,47249,"High-Value Transaction"
1200,685,181,"Joseph Jacobson","9/1/2020 0:13",26126,49839,"High-Value Transaction"
114,705,142,"Alex Singh","4/18/2023 19:53",49319,36045,"High-Value Transaction"
3460,711,788,"Donna Barton","3/20/2020 13:50",48500,65480,"High-Value Transaction"
2762,722,295,"Carl Richards","3/15/2021 17:28",48498,92790,"High-Value Transaction"
860,733,2,"Steven Hicks","2/19/2020 12:57",47018,77858,"High-Value Transaction"
4975,734,21,"Jacob Wood","11/12/2022 10:01",39282,39187,"High-Value Transaction"
4981,739,257,"Ashley Ball","6/17/2020 0:13",29277,84327,"High-Value Transaction"
1842,745,762,"Marie Sanchez","3/23/2022 22:47",25720,67110,"High-Value Transaction"
3178,745,518,"Corey Reed","4/7/2023 8:28",41802,67110,"High-Value Transaction"
4029,745,991,"Donald Macias","3/30/2023 21:59",29434,67110,"High-Value Transaction"
608,746,614,"Jason Fletcher","4/1/2020 21:35",43503,105721,"High-Value Transaction"
2413,747,266,"Michael Thornton","9/17/2024 19:49",38606,119017,"High-Value Transaction"
4908,748,213,"Linda Graham","11/13/2021 11:24",22471,35922,"High-Value Transaction"
822,749,744,"Brianna Martinez","1/14/2020 4:41",38748,115635,"High-Value Transaction"
2922,750,617,"David Rogers","9/12/2021 13:46",29026,39810,"High-Value Transaction"
4838,750,274,"Brandon Bowen","4/17/2021 3:40",22472,39810,"High-Value Transaction"
1251,754,915,"Cynthia Jones","4/21/2023 0:33",36291,115974,"High-Value Transaction"
1262,761,585,"Jennifer Summers","12/29/2023 15:45",48876,106366,"High-Value Transaction"
28,763,783,"Amanda Miller","9/13/2022 19:50",40401,83967,"High-Value Transaction"
1001,763,727,"Patrick Bennett","4/12/2021 1:32",26938,83967,"High-Value Transaction"
21,772,498,"Stephanie Escobar","9/16/2022 8:08",24125,49177,"High-Value Transaction"
535,785,19,"Jonathan Vargas","6/18/2024 1:11",34378,28065,"High-Value Transaction"
4036,793,656,"Wayne Baldwin","1/25/2024 0:20",49655,160957,"High-Value Transaction"
4763,808,760,"William Spencer","3/2/2020 2:10",12798,31941,"High-Value Transaction"
1331,809,255,"Colin Thomas","10/19/2021 23:25",4433,11539,"High-Value Transaction"
4447,809,525,"Jason Holden","6/13/2022 3:17",44803,11539,"High-Value Transaction"
1217,817,883,"Ruben Weiss","11/13/2022 20:39",36709,21500,"High-Value Transaction"
1281,817,206,"Joe Gonzalez","6/10/2020 23:38",45589,21500,"High-Value Transaction"
1403,817,315,"Shane Harris","5/21/2021 3:40",24160,21500,"High-Value Transaction"
4862,820,34,"Jason Williams","12/3/2019 14:21",20654,48757,"High-Value Transaction"
994,825,49,"Jeremy Ross","8/12/2024 9:23",45823,120125,"High-Value Transaction"
2553,825,500,"Stacie Ellis","11/2/2023 17:53",47311,120125,"High-Value Transaction"
2734,826,356,"Kara Tanner MD","7/22/2022 18:28",35353,85563,"High-Value Transaction"
778,827,825,"Katherine Long","1/9/2021 9:20",37555,41256,"High-Value Transaction"
1916,838,11,"Jason James","6/5/2023 5:26",39579,16506,"High-Value Transaction"
463,846,712,"Amy Hall","3/14/2020 12:10",15935,48020,"High-Value Transaction"
2568,846,166,"Andrea Brown","2/28/2022 10:27",23391,48020,"High-Value Transaction"
1,848,440,"Laura Schmitt","9/29/2021 13:10",47332,106811,"High-Value Transaction"
1023,861,426,"Kevin Collins","7/18/2022 15:00",39509,125285,"High-Value Transaction"
1938,861,530,"Maria Booth","6/1/2023 10:07",40727,125285,"High-Value Transaction"
2690,861,442,"Sonya Burke","7/29/2020 19:02",42384,125285,"High-Value Transaction"
606,869,679,"William King","7/6/2022 2:48",45870,127034,"High-Value Transaction"
1017,872,556,"Allison Shelton","8/8/2021 14:10",15874,8284,"High-Value Transaction"
1253,872,922,"Rachel Edwards","7/20/2021 0:35",16931,8284,"High-Value Transaction"
1920,872,704,"Matthew Ortiz","11/26/2022 4:09",20941,8284,"High-Value Transaction"
3116,872,823,"Cynthia Davis","2/19/2022 22:49",20490,8284,"High-Value Transaction"
3283,872,832,"Tyler Evans","9/30/2023 16:13",2486,8284,"High-Value Transaction"
4977,872,121,"Samantha Harmon","5/28/2021 22:32",26903,8284,"High-Value Transaction"
1438,878,470,"Heather Harris","1/11/2022 22:02",48481,154751,"High-Value Transaction"
68,890,200,"Thomas Spencer","7/26/2022 4:02",14815,25743,"High-Value Transaction"
3141,890,963,"Jonathan Lang","12/19/2019 0:46",45293,25743,"High-Value Transaction"
2543,891,336,"Jasmine Moore","1/13/2024 7:52",45216,56039,"High-Value Transaction"
4308,891,146,"Karen Fisher","7/18/2023 12:10",47590,56039,"High-Value Transaction"
1519,896,209,"Courtney Lewis","3/8/2020 5:32",36126,101297,"High-Value Transaction"
4010,896,267,"Dr. Kelly Nelson","2/17/2021 17:17",34060,101297,"High-Value Transaction"
897,899,543,"Gregory Thompson","7/21/2020 8:11",28750,41905,"High-Value Transaction"
4577,899,563,"Kenneth Moreno","4/21/2023 0:49",17561,41905,"High-Value Transaction"
4441,903,41,"Kimberly Douglas","7/23/2021 13:06",29166,94147,"High-Value Transaction"
533,911,93,"Diana Miller","2/22/2022 18:51",45456,16226,"High-Value Transaction"
4456,911,551,"Heather Mueller","11/17/2022 13:16",24130,16226,"High-Value Transaction"
2219,912,516,"Kimberly Coleman","8/27/2024 23:42",40690,58805,"High-Value Transaction"
2958,912,794,"Carla Rose","12/19/2020 5:02",18561,58805,"High-Value Transaction"
2414,913,374,"Amy Larson","7/4/2020 23:06",42993,40186,"High-Value Transaction"
2926,913,397,"Courtney Compton","5/18/2024 19:09",39113,40186,"High-Value Transaction"
118,921,418,"Max Johnson","1/31/2020 9:55",40317,83392,"High-Value Transaction"
1457,928,9,"Margaret Miller","10/2/2020 2:00",45961,120274,"High-Value Transaction"
2819,940,181,"Joseph Jacobson","3/1/2024 0:57",47685,135538,"High-Value Transaction"
3659,940,888,"Daniel Huber","2/23/2021 17:56",42158,135538,"High-Value Transaction"
1784,942,592,"Tyler Mcgee","2/17/2023 1:52",18828,48925,"High-Value Transaction"
1490,945,327,"Melissa White","2/3/2022 16:28",6650,7859,"High-Value Transaction"
3630,953,378,"Evan Jones","10/7/2021 7:15",29086,46838,"High-Value Transaction"
2050,955,119,"Amanda Wolfe","9/16/2023 4:36",23570,54061,"High-Value Transaction"
3332,955,456,"Christina Mata","9/25/2023 15:54",34205,54061,"High-Value Transaction"
1768,958,978,"Seth Herrera","10/9/2022 8:35",7350,22455,"High-Value Transaction"
244,965,331,"Maria Kelley","4/11/2021 9:17",47467,22287,"High-Value Transaction"
3667,965,92,"Andrew Mann","7/28/2023 16:27",23735,22287,"High-Value Transaction"
282,976,348,"Jennifer Jones","6/23/2021 11:08",34150,76634,"High-Value Transaction"
1224,976,953,"David Shaw","3/1/2020 1:57",47709,76634,"High-Value Transaction"
1564,977,333,"Tracy Sanchez","6/5/2020 13:55",44221,40694,"High-Value Transaction"
3668,977,535,"David Crane","10/31/2021 21:54",35196,40694,"High-Value Transaction"
4956,987,315,"Shane Harris","3/10/2021 2:12",49970,70552,"High-Value Transaction"
1344,990,70,"Travis Hammond","9/16/2020 4:24",42587,65028,"High-Value Transaction"
4689,990,9,"Margaret Miller","9/18/2024 18:24",41734,65028,"High-Value Transaction"
3020,1003,206,"Joe Gonzalez","5/10/2024 1:24",49590,81928,"High-Value Transaction"
1120,1012,34,"Jason Williams","3/10/2021 2:22",43584,87028,"High-Value Transaction"
1566,1022,642,"Martin Allen","1/5/2024 19:14",7041,7232,"High-Value Transaction"
2022,1022,771,"Christina Jackson","11/6/2022 7:44",29425,7232,"High-Value Transaction"
2757,1022,427,"Melissa Garcia","6/9/2020 18:59",49909,7232,"High-Value Transaction"
3810,1022,156,"Michael Hopkins","3/18/2021 22:23",32595,7232,"High-Value Transaction"
110,1026,791,"Louis Flores","4/7/2022 15:44",49237,89272,"High-Value Transaction"
1626,1036,394,"Amber Sutton","1/26/2020 23:11",36577,12907,"High-Value Transaction"
3466,1036,817,"Emily Rodriguez","9/1/2023 1:47",26590,12907,"High-Value Transaction"
4562,1036,104,"Joshua Guzman","1/20/2022 21:12",15835,12907,"High-Value Transaction"
505,1040,186,"Kendra Shields","10/25/2020 1:42",30764,22070,"High-Value Transaction"
1371,1053,92,"Andrew Mann","10/13/2023 23:34",48734,54907,"High-Value Transaction"
2551,1053,708,"Shane Rivers","4/6/2023 14:33",41096,54907,"High-Value Transaction"
4789,1053,379,"Beth Cochran","6/17/2023 6:49",46974,54907,"High-Value Transaction"
803,1054,870,"Austin Hale","5/30/2021 18:41",24297,43552,"High-Value Transaction"
4539,1054,298,"Thomas Neal","3/18/2024 12:29",39460,43552,"High-Value Transaction"
1568,1059,340,"Patrick Martinez","1/28/2021 15:21",45767,81350,"High-Value Transaction"
2006,1059,614,"Jason Fletcher","1/2/2020 8:49",47293,81350,"High-Value Transaction"
3891,1059,230,"Paul Rosario","11/28/2022 11:33",34539,81350,"High-Value Transaction"
3893,1062,5,"Julie Hart","12/22/2023 7:13",39860,68849,"High-Value Transaction"
2193,1066,512,"Maxwell Baird","7/2/2023 5:52",26286,41834,"High-Value Transaction"
3651,1066,511,"Regina Wilson","9/20/2024 1:25",31790,41834,"High-Value Transaction"
4518,1066,474,"Adriana Willis","3/11/2024 7:28",27529,41834,"High-Value Transaction"
3140,1072,206,"Joe Gonzalez","7/24/2023 19:12",39397,68206,"High-Value Transaction"
433,1077,349,"Kenneth Miller","12/25/2022 1:27",45069,114068,"High-Value Transaction"
2516,1078,33,"Michael Stein","4/27/2024 16:28",26457,60863,"High-Value Transaction"
177,1090,511,"Regina Wilson","5/16/2020 23:31",34317,82307,"High-Value Transaction"
4085,1101,484,"Harry Silva","2/16/2024 5:45",45241,97970,"High-Value Transaction"
493,1105,98,"Joseph Carter","5/30/2022 7:38",48160,8431,"High-Value Transaction"
1868,1118,972,"Ashley Walker","7/21/2023 19:05",38534,104291,"High-Value Transaction"
1040,1125,786,"Joe Pittman","5/19/2023 7:24",29941,66194,"High-Value Transaction"
4849,1125,412,"Cheryl Adams","4/30/2022 19:32",32750,66194,"High-Value Transaction"
2454,1149,415,"Michael Bauer","2/19/2023 2:46",16563,36763,"High-Value Transaction"
3661,1149,347,"Christine Wilson","8/30/2021 5:14",24216,36763,"High-Value Transaction"
527,1152,663,"Brianna Gonzales","10/26/2022 4:54",35322,107314,"High-Value Transaction"
2661,1165,650,"Ronald Mathews","7/14/2024 2:29",41200,134441,"High-Value Transaction"
1997,1166,158,"Anthony Reese","3/3/2021 1:52",24739,54217,"High-Value Transaction"
3348,1178,684,"Nicholas Skinner","1/1/2021 18:33",45283,122549,"High-Value Transaction"
